Matrix Size,Poor OpenMP,Thrashing OpenMP,'Possible' Thrashing OpenMP,Correct OpenMP
32768,0.933159,3.82215,0.405147,0.419484
30720,0.814565,3.90501,0.370522,0.464994
28672,0.800543,2.78482,0.34818,0.380795
26624,0.868214,1.7606,0.279402,0.291538
24576,0.469216,1.58069,0.265046,0.300945
22528,0.661261,1.04204,0.211864,0.216753
20480,0.469,0.813084,0.166837,0.182109
18432,0.338693,0.557253,0.154508,0.159836
16384,0.252357,0.407523,0.114622,0.12554
14336,0.198081,0.315303,0.0989151,0.102627
12288,0.239296,0.218139,0.0565261,0.056622
10240,0.237851,0.146968,0.0430098,0.0479911
8192,0.0907174,0.0912277,0.0287957,0.031208
6144,0.0590078,0.0469686,0.0173773,0.0176604
4096,0.0379633,0.0194886,0.00670885,0.00731101
